PickupDate,fhvrides,Yellowrides,Greenrides
2016-12-26T00:00:00.0000000,285508,205192,23392
2017-06-30T00:00:00.0000000,524810,302847,35505
2016-10-21T00:00:00.0000000,487689,376369,46276
2015-06-11T00:00:00.0000000,155609,439869,54240
2015-02-10T00:00:00.0000000,97965,424564,45711
2016-01-06T00:00:00.0000000,267690,348516,42025
2018-01-05T00:00:00.0000000,699753,265212,27459
2017-11-06T00:00:00.0000000,528282,298503,26212
2017-05-21T00:00:00.0000000,487727,319407,36892
2016-12-09T00:00:00.0000000,543698,405547,48307
2018-04-18T00:00:00.0000000,670809,320981,26088
2018-01-08T00:00:00.0000000,595390,259792,25476
2015-11-27T00:00:00.0000000,212675,275078,41880
2015-07-27T00:00:00.0000000,132925,348629,39821
2017-04-28T00:00:00.0000000,543456,359350,39685
2016-02-18T00:00:00.0000000,332941,410641,50612
2017-10-11T00:00:00.0000000,531008,322317,28714
2015-01-02T00:00:00.0000000,61832,345296,43410
2015-01-30T00:00:00.0000000,117671,483380,62944
2018-03-06T00:00:00.0000000,655452,315726,27427
2015-03-03T00:00:00.0000000,108518,397691,51223
2017-12-16T00:00:00.0000000,800809,364503,37261
2015-02-28T00:00:00.0000000,118022,499637,75839
2015-01-29T00:00:00.0000000,101071,431985,47965
2015-05-05T00:00:00.0000000,132000,432452,47745
2015-12-20T00:00:00.0000000,292126,385155,58388
2018-05-28T00:00:00.0000000,539207,187561,17606
2015-11-07T00:00:00.0000000,311916,443933,66459
2017-01-15T00:00:00.0000000,453061,307444,36131
2015-04-09T00:00:00.0000000,134453,460476,51804
2017-09-21T00:00:00.0000000,486824,285782,27739
2015-03-19T00:00:00.0000000,111690,451904,52935
2018-11-16T00:00:00.0000000,847376,301043,24333
2015-05-02T00:00:00.0000000,151248,507619,81574
2017-10-14T00:00:00.0000000,679404,336656,36264
2018-10-04T00:00:00.0000000,750763,306203,24299
2016-10-24T00:00:00.0000000,354282,326669,32843
2016-11-16T00:00:00.0000000,388797,348325,35690
2015-01-12T00:00:00.0000000,87703,396367,40867
2015-03-31T00:00:00.0000000,109375,429914,51135
2015-01-21T00:00:00.0000000,88385,431486,43276
2018-09-11T00:00:00.0000000,634342,265881,19331
2016-02-27T00:00:00.0000000,354946,440935,67411
2016-08-05T00:00:00.0000000,387117,343476,46396
2018-11-30T00:00:00.0000000,859356,306751,25611
2015-11-04T00:00:00.0000000,268612,384089,43999
2018-10-01T00:00:00.0000000,623541,256419,20727
2018-08-02T00:00:00.0000000,719644,286189,23700
2018-01-28T00:00:00.0000000,649079,259837,24068
2016-02-15T00:00:00.0000000,286859,350399,44269
2016-04-18T00:00:00.0000000,300259,355564,41263
2015-07-04T00:00:00.0000000,95843,254353,53768
2015-06-17T00:00:00.0000000,146297,425743,49082
2016-09-11T00:00:00.0000000,393872,339972,41266
2015-03-20T00:00:00.0000000,130382,458225,61968
2017-06-13T00:00:00.0000000,498560,333931,29296
2015-06-07T00:00:00.0000000,126055,402188,64186
2015-01-14T00:00:00.0000000,94558,442656,44394
2018-04-01T00:00:00.0000000,626934,244462,25265
2018-10-24T00:00:00.0000000,716141,295118,23194
2018-01-14T00:00:00.0000000,719580,290964,26072
2017-09-01T00:00:00.0000000,549599,260126,26397
2017-03-02T00:00:00.0000000,512146,372857,39193
2017-08-29T00:00:00.0000000,512009,278267,26394
2015-02-27T00:00:00.0000000,125198,487022,68585
2017-03-16T00:00:00.0000000,526580,316923,39648
